Discipline,Female,Male,Total
3x3 Basketball,32,32,64
Archery,64,64,128
Artistic Gymnastics,98,98,196
Artistic Swimming,96,0,96
Athletics,905,905,1810
Badminton,86,86,172
Basketball,144,144,288
Beach Volleyball,48,48,96
Boxing,124,124,248
Canoe Slalom,41,41,82
Canoe Sprint,120,119,239
Cycling – BMX Freestyle,12,12,24
Cycling – BMX Racing,24,24,48
Cycling – Mountain Bike,36,36,72
Cycling – Road,90,90,180
Cycling – Track,95,95,190
Diving,68,68,136
Equestrian,85,115,200
Fencing,106,106,212
Football,216,288,504
Golf,60,60,120
Handball,180,180,360
Hockey,192,192,384
Judo,186,186,372
Marathon Swimming,22,22,44
Modern Pentathlon,36,36,72
Rhythmic Gymnastics,94,0,94
Rowing,251,251,502
Rugby Sevens,144,144,288
Sailing,165,165,330
Shooting,170,170,340
Skateboarding,44,44,88
Sport Climbing,34,34,68
Surfing,24,24,48
Swimming,426,426,852
Table Tennis,86,86,172
Taekwondo,64,64,128
Tennis,92,92,184
Trampoline Gymnastics,16,16,32
Triathlon,55,55,110
Volleyball,156,156,312
Water Polo,144,144,288
Weightlifting,60,60,120
Wrestling,96,192,288
